disorder	class	gene
Li-Fraumeni syndrome	Cancer	P53
Li-Fraumeni syndrome	Cancer	LFS1
Li-Fraumeni syndrome	Cancer	CHEK2
Li-Fraumeni syndrome	Cancer	RAD53
Li-Fraumeni syndrome	Cancer	CHK2
Li-Fraumeni syndrome	Cancer	CDS1
Li-Fraumeni syndrome	Cancer	LFS2
LIG4 syndrome	multiple	LIG4
Limb-mammary syndrome	multiple	TP73L
Limb-mammary syndrome	multiple	TP63
Limb-mammary syndrome	multiple	KET
Limb-mammary syndrome	multiple	EEC3
Limb-mammary syndrome	multiple	SHFM4
Limb-mammary syndrome	multiple	LMS
Limb-mammary syndrome	multiple	RHS
Lipodystrophy, congenital generalized, type 1	Metabolic	AGPAT2
Lipodystrophy, congenital generalized, type 1	Metabolic	LPAAB
Lipodystrophy, congenital generalized, type 1	Metabolic	BSCL
Lipodystrophy, congenital generalized, type 1	Metabolic	BSCL1
Lipodystrophy, congenital generalized, type 2	Metabolic	BSCL2
Lipodystrophy, congenital generalized, type 2	Metabolic	SPG17
Lipodystrophy, familial partial	Metabolic	LMNA
Lipodystrophy, familial partial	Metabolic	LMN1
Lipodystrophy, familial partial	Metabolic	EMD2
Lipodystrophy, familial partial	Metabolic	FPLD
Lipodystrophy, familial partial	Metabolic	CMD1A
Lipodystrophy, familial partial	Metabolic	HGPS
Lipodystrophy, familial partial	Metabolic	LGMD1B
Lipodystrophy, familial partial	Metabolic	PPARG
Lipodystrophy, familial partial	Metabolic	PPARG1
Lipodystrophy, familial partial	Metabolic	PPARG2
Lipodystrophy, familial partial, with decreased subcutaneous fat of face and neck	Metabolic	PPARGC1A
Lipodystrophy, familial partial, with decreased subcutaneous fat of face and neck	Metabolic	PPARGC1
Lipoid adrenal hyperplasia	Endocrine	STAR
Lipoid congenital adrenal hyperplasia	Endocrine	CYP11A
Lipoid congenital adrenal hyperplasia	Endocrine	P450SCC
Lipoid proteinosis	Metabolic	ECM1
Lipoma	Cancer	HMGA2
Lipoma	Cancer	HMGIC
Lipoma	Cancer	BABL
Lipoma	Cancer	LIPO
Lipoma	Cancer	LPP
Lipoma, sporadic	Cancer	MEN1
Lipomatosis, mutiple	Cancer	HMGA2
Lipomatosis, mutiple	Cancer	HMGIC
Lipomatosis, mutiple	Cancer	BABL
Lipomatosis, mutiple	Cancer	LIPO
Lipoprotein lipase deficiency	Metabolic	LPL
Lipoprotein lipase deficiency	Metabolic	LIPD
Lissencephaly-1	Neurological	PAFAH1B1
Lissencephaly-1	Neurological	LIS1
Lissencephaly syndrome, Norman-Roberts type	Neurological	RELN
Lissencephaly syndrome, Norman-Roberts type	Neurological	RL
Lissencephaly, X-linked	Neurological	DCX
Lissencephaly, X-linked	Neurological	DBCN
Lissencephaly, X-linked	Neurological	LISX
Lissencephaly, X-linked with ambiguous genitalia	Neurological	ARX
Lissencephaly, X-linked with ambiguous genitalia	Neurological	ISSX
Lissencephaly, X-linked with ambiguous genitalia	Neurological	PRTS
Lissencephaly, X-linked with ambiguous genitalia	Neurological	MRXS1
Lissencephaly, X-linked with ambiguous genitalia	Neurological	MRX36
Lissencephaly, X-linked with ambiguous genitalia	Neurological	MRX54
Listeria monocytogenes, susceptibility to	Immunological	CDH1
Listeria monocytogenes, susceptibility to	Immunological	UVO
Loeys-Dietz syndrome	Connective tissue	TGFBR1
Loeys-Dietz syndrome	Connective tissue	TGFBR2
Loeys-Dietz syndrome	Connective tissue	HNPCC6
Longevity, exceptional	Developmental	CETP
Longevity, reduced	Developmental	AKAP10
Long QT syndrome-1	Cardiovascular	KCNQ1
Long QT syndrome-1	Cardiovascular	KCNA9
Long QT syndrome-1	Cardiovascular	LQT1
Long QT syndrome-1	Cardiovascular	KVLQT1
Long QT syndrome-1	Cardiovascular	ATFB1
Long QT syndrome-2	Cardiovascular	KCNH2
Long QT syndrome-2	Cardiovascular	LQT2
Long QT syndrome-2	Cardiovascular	HERG
Long QT syndrome-3	Cardiovascular	SCN5A
Long QT syndrome-3	Cardiovascular	LQT3
Long QT syndrome-3	Cardiovascular	IVF
Long QT syndrome-3	Cardiovascular	HB1
Long QT syndrome-3	Cardiovascular	SSS1
Long QT syndrome 4	Cardiovascular	ANK2
Long QT syndrome 4	Cardiovascular	LQT4
Long QT syndrome-5	Cardiovascular	KCNE1
Long QT syndrome-5	Cardiovascular	JLNS
Long QT syndrome-5	Cardiovascular	LQT5
Long QT syndrome-6	Cardiovascular	KCNE2
Long QT syndrome-6	Cardiovascular	MIRP1
Long QT syndrome-6	Cardiovascular	LQT6
Long QT syndrome-7	Cardiovascular	KCNJ2
Long QT syndrome-7	Cardiovascular	HHIRK1
Long QT syndrome-7	Cardiovascular	KIR2.1
Long QT syndrome-7	Cardiovascular	IRK1
Long QT syndrome-7	Cardiovascular	LQT7
Lower motor neuron disease, progressive, without sensory symptoms	Neurological	DCTN1
Lowe syndrome	Metabolic	OCRL
Lowe syndrome	Metabolic	LOCR
Lowe syndrome	Metabolic	OCRL1
Lowe syndrome	Metabolic	NPHL2
Low renin hypertension, susceptibility to	Cardiovascular	CYP11B2
LPA deficiency, congenital	Metabolic	LPA
Lumbar disc disease, susceptibility to	Skeletal	CILP
Lung cancer	Cancer	KRAS2
Lung cancer	Cancer	RASK2
Lung cancer	Cancer	PPP2R1B
Lung cancer	Cancer	SLC22A1L
Lung cancer	Cancer	BWSCR1A
Lung cancer	Cancer	IMPT1
Lung cancer, somatic	Cancer	MAP3K8
Lung cancer, somatic	Cancer	COT
Lung cancer, somatic	Cancer	EST
Lung cancer, somatic	Cancer	TPL2
Lupus nephritis, susceptibility to	Connective tissue	FCGR2A
Lupus nephritis, susceptibility to	Connective tissue	IGFR2
Lupus nephritis, susceptibility to	Connective tissue	CD32
Lymphangioleiomyomatosis	Respiratory	TSC1
Lymphangioleiomyomatosis	Respiratory	LAM
Lymphangioleiomyomatosis, somatic	Respiratory	TSC2
Lymphangioleiomyomatosis, somatic	Respiratory	LAM
Lymphedema and ptosis	Hematological	FOXC2
Lymphedema and ptosis	Hematological	FKHL14
Lymphedema and ptosis	Hematological	MFH1
Lymphedema-distichiasis syndrome	Hematological	FOXC2
Lymphedema-distichiasis syndrome	Hematological	FKHL14
Lymphedema-distichiasis syndrome	Hematological	MFH1
Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	Hematological	FOXC2
Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	Hematological	FKHL14
Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	Hematological	MFH1
Lymphedema, hereditary I	Hematological	FLT4
Lymphedema, hereditary I	Hematological	VEGFR3
Lymphedema, hereditary I	Hematological	PCL
Lymphedema, hereditary II	Hematological	FOXC2
Lymphedema, hereditary II	Hematological	FKHL14
Lymphedema, hereditary II	Hematological	MFH1
Lymphocytic leukemia, acute T-cell	Cancer	RAP1GDS1
Lymphoma, B-cell non-Hodgkin, somatic	Cancer	ATM
Lymphoma, B-cell non-Hodgkin, somatic	Cancer	ATA
Lymphoma, B-cell non-Hodgkin, somatic	Cancer	AT1
Lymphoma, diffuse large cell	Cancer	BCL8
Lymphoma, follicular	Cancer	BCL10
Lymphoma, MALT	Cancer	BCL10
Lymphoma, mantle cell	Cancer	ATM
Lymphoma, mantle cell	Cancer	ATA
Lymphoma, mantle cell	Cancer	AT1
Lymphoma, non-Hodgkin	Cancer	RAD54B
Lymphoma, non-Hodgkin	Cancer	RAD54L
Lymphoma, non-Hodgkin	Cancer	HR54
Lymphoma, non-Hodgkin	Cancer	HRAD54
Lymphoma, progression of	Cancer	FCGR2B
Lymphoma, progression of	Cancer	CD32
Lymphoma, somatic	Cancer	MAD1L1
Lymphoma, somatic	Cancer	TXBP181
Lymphoma, T-cell	Cancer	MSH2
Lymphoma, T-cell	Cancer	COCA1
Lymphoma, T-cell	Cancer	FCC1
Lymphoma, T-cell	Cancer	HNPCC1
Lymphoproliferative syndrome, X-linked	Cancer	SH2D1A
Lymphoproliferative syndrome, X-linked	Cancer	LYP
Lymphoproliferative syndrome, X-linked	Cancer	IMD5
Lymphoproliferative syndrome, X-linked	Cancer	XLP
Lymphoproliferative syndrome, X-linked	Cancer	XLPD
Lynch cancer family syndrome II	Cancer	MSH2
Lynch cancer family syndrome II	Cancer	COCA1
Lynch cancer family syndrome II	Cancer	FCC1
Lynch cancer family syndrome II	Cancer	HNPCC1
Lysinuric protein intolerance	Metabolic	SLC7A7
Lysinuric protein intolerance	Metabolic	LPI
Machado-Joseph disease	Neurological	ATXN3
Machado-Joseph disease	Neurological	MJD
Machado-Joseph disease	Neurological	SCA3
Macrocytic anemia, refractory, of 5q- syndrome	Hematological	IRF1
Macrocytic anemia, refractory, of 5q- syndrome	Hematological	MAR
Macrothrombocytopenia	Hematological	GATA1
Macrothrombocytopenia	Hematological	GF1
Macrothrombocytopenia	Hematological	ERYF1
Macrothrombocytopenia	Hematological	NFE1
Macular corneal dystrophy	Ophthamological	CHST6
Macular corneal dystrophy	Ophthamological	MCDC1
Macular degeneration, age-related, 1	Ophthamological	HF1
Macular degeneration, age-related, 1	Ophthamological	CFH
Macular degeneration, age-related, 1	Ophthamological	HUS
Macular degeneration, age-related, 1	Ophthamological	HMCN1
Macular degeneration, age-related, 1	Ophthamological	FBLN6
Macular degeneration, age-related, 1	Ophthamological	FIBL6
Macular degeneration, age-related, 3	Ophthamological	FBLN5
Macular degeneration, age-related, 3	Ophthamological	ARMD3
Macular degeneration, juvenile	Ophthamological	CNGB3
Macular degeneration, juvenile	Ophthamological	ACHM3
Macular degeneration, X-linked atrophic	Ophthamological	RPGR
Macular degeneration, X-linked atrophic	Ophthamological	RP3
Macular degeneration, X-linked atrophic	Ophthamological	CRD
Macular degeneration, X-linked atrophic	Ophthamological	RP15
Macular degeneration, X-linked atrophic	Ophthamological	COD1
Macular dystrophy	Ophthamological	RDS
Macular dystrophy	Ophthamological	RP7
Macular dystrophy	Ophthamological	PRPH2
Macular dystrophy	Ophthamological	PRPH
Macular dystrophy	Ophthamological	AVMD
Macular dystrophy	Ophthamological	AOFMD
Macular dystrophy, age-related, 2	Ophthamological	ABCA4
Macular dystrophy, age-related, 2	Ophthamological	ABCR
Macular dystrophy, age-related, 2	Ophthamological	STGD1
Macular dystrophy, age-related, 2	Ophthamological	FFM
Macular dystrophy, age-related, 2	Ophthamological	RP19
Macular dystrophy, autosomal dominant, chromosome 6-linked	Ophthamological	ELOVL4
Macular dystrophy, autosomal dominant, chromosome 6-linked	Ophthamological	ADMD
Macular dystrophy, autosomal dominant, chromosome 6-linked	Ophthamological	STGD2
Macular dystrophy, autosomal dominant, chromosome 6-linked	Ophthamological	STGD3
Macular dystrophy, vitelliform	Ophthamological	RDS
Macular dystrophy, vitelliform	Ophthamological	RP7
Macular dystrophy, vitelliform	Ophthamological	PRPH2
Macular dystrophy, vitelliform	Ophthamological	PRPH
Macular dystrophy, vitelliform	Ophthamological	AVMD
Macular dystrophy, vitelliform	Ophthamological	AOFMD
Macular dystrophy, vitelliform type	Ophthamological	VMD2
Maculopathy, bull's-eye	Ophthamological	VMD2
Major depressive disorder and accelerated response to antidepressant drug treatment	Psychiatric	FKBP5
Major depressive disorder and accelerated response to antidepressant drug treatment	Psychiatric	FKBP51
Malaria, cerebral, reduced risk of	Immunological	CD36
Malaria, cerebral, susceptibility to	Immunological	CD36
Malaria, cerebral, susceptibility to	Immunological	ICAM1
Malaria, cerebral, susceptibility to	Immunological	TNF
Malaria, cerebral, susceptibility to	Immunological	TNFA
Malaria, resistance to	Immunological	GYPC
Malaria, resistance to	Immunological	GE
Malaria, resistance to	Immunological	GPC
Malaria, resistance to	Immunological	NOS2A
Malaria, resistance to	Immunological	NOS2
Malignant hyperthermia susceptibility 1	Neurological	RYR1
Malignant hyperthermia susceptibility 1	Neurological	MHS
Malignant hyperthermia susceptibility 1	Neurological	CCO
Malignant hyperthermia susceptibility 5	Neurological	CACNA1S
Malignant hyperthermia susceptibility 5	Neurological	CACNL1A3
Malignant hyperthermia susceptibility 5	Neurological	CCHL1A3
Malonyl-CoA decarboxylase deficiency	Metabolic	MLYCD
Malonyl-CoA decarboxylase deficiency	Metabolic	MCD
MALT lymphoma	Cancer	MALT1
MALT lymphoma	Cancer	MLT
Mandibuloacral dysplasia with type B lipodystrophy	multiple	ZMPSTE24
Mandibuloacral dysplasia with type B lipodystrophy	multiple	FACE1
Mandibuloacral dysplasia with type B lipodystrophy	multiple	STE24
Mandibuloacral dysplasia with type B lipodystrophy	multiple	MADB
Mannosidosis, alpha-, types I and II	Metabolic	MAN2B1
Mannosidosis, alpha-, types I and II	Metabolic	MANB
Mannosidosis, beta	Metabolic	MANBA
Mannosidosis, beta	Metabolic	MANB1
Maple syrup urine disease, type Ia	Metabolic	BCKDHA
Maple syrup urine disease, type Ia	Metabolic	MSUD1
Maple syrup urine disease, type Ib	Metabolic	BCKDHB
Maple syrup urine disease, type Ib	Metabolic	E1B
Maple syrup urine disease, type II	Metabolic	DBT
Maple syrup urine disease, type II	Metabolic	BCATE2
Maple syrup urine disease, type III	Metabolic	DLD
Maple syrup urine disease, type III	Metabolic	LAD
Maple syrup urine disease, type III	Metabolic	PHE3
Marfan syndrome	Connective tissue	FBN1
Marfan syndrome	Connective tissue	MFS1
Marfan syndrome	Connective tissue	WMS
Marfan syndrome, atypical	Connective tissue	COL1A2
Maroteaux-Lamy syndrome, several forms	Metabolic	ARSB
Maroteaux-Lamy syndrome, several forms	Metabolic	MPS6
Marshall syndrome	multiple	COL11A1
Marshall syndrome	multiple	STL2
MASA syndrome	multiple	L1CAM
MASA syndrome	multiple	CAML1
MASA syndrome	multiple	HSAS1
MASP2 deficiency	Immunological	MASP2
MASS syndrome	Connective tissue	FBN1
MASS syndrome	Connective tissue	MFS1
MASS syndrome	Connective tissue	WMS
Mast cell leukemia	Cancer	KIT
Mast cell leukemia	Cancer	PBT
Mastocytosis with associated hematologic disorder	Immunological	KIT
Mastocytosis with associated hematologic disorder	Immunological	PBT
Mast syndrome	Neurological	ACP33
Mast syndrome	Neurological	MAST
Mast syndrome	Neurological	SPG21
May-Hegglin anomaly	Hematological	MYH9
May-Hegglin anomaly	Hematological	MHA
May-Hegglin anomaly	Hematological	FTNS
May-Hegglin anomaly	Hematological	DFNA17
McArdle disease	Metabolic	PYGM
McCune-Albright syndrome	multiple	GNAS
McCune-Albright syndrome	multiple	GNAS1
McCune-Albright syndrome	multiple	GPSA
McCune-Albright syndrome	multiple	POH
McCune-Albright syndrome	multiple	PHP1B
McCune-Albright syndrome	multiple	PHP1A
McCune-Albright syndrome	multiple	AHO
McKusick-Kaufman syndrome	Developmental	MKKS
McKusick-Kaufman syndrome	Developmental	HMCS
McKusick-Kaufman syndrome	Developmental	KMS
McKusick-Kaufman syndrome	Developmental	MKS
McKusick-Kaufman syndrome	Developmental	BBS6
McLeod syndrome	Hematological	XK
McLeod syndrome with neuroacanthosis	Hematological	XK
Medullary cystic kidney disease 2	Renal	UMOD
Medullary cystic kidney disease 2	Renal	HNFJ
Medullary cystic kidney disease 2	Renal	FJHN
Medullary cystic kidney disease 2	Renal	MCKD2
Medullary cystic kidney disease 2	Renal	ADMCKD2
Medullary thyroid carcinoma	Cancer	RET
Medullary thyroid carcinoma	Cancer	MEN2A
Medullary thyroid carcinoma, familial	Cancer	NTRK1
Medullary thyroid carcinoma, familial	Cancer	TRKA
Medullary thyroid carcinoma, familial	Cancer	MTC
Medulloblastoma	Cancer	PTCH2
Medulloblastoma, desmoplastic	Cancer	SUFU
Medulloblastoma, desmoplastic	Cancer	SUFUXL
Medulloblastoma, desmoplastic	Cancer	SUFUH
Meesmann corneal dystrophy	Ophthamological	KRT12
Meesmann corneal dystrophy	Ophthamological	KRT3
Megakaryoblastic leukemia, acute	Cancer	MKL1
Megakaryoblastic leukemia, acute	Cancer	AMKL
Megakaryoblastic leukemia, acute	Cancer	MAL
Megalencephalic leukoencephalopathy with subcortical cysts	Neurological	MLC1
Megalencephalic leukoencephalopathy with subcortical cysts	Neurological	LVM
Megalencephalic leukoencephalopathy with subcortical cysts	Neurological	VL
Megaloblastic anemia-1, Finnish type	Hematological	CUBN
Megaloblastic anemia-1, Finnish type	Hematological	IFCR
Megaloblastic anemia-1, Finnish type	Hematological	MGA1
Megaloblastic anemia-1, Norwegian type	Hematological	AMN
Melanoma	Cancer	CDK4
Melanoma	Cancer	CMM3
Melanoma and neural system tumor syndrome	Cancer	CDKN2A
Melanoma and neural system tumor syndrome	Cancer	MTS1
Melanoma and neural system tumor syndrome	Cancer	P16
Melanoma and neural system tumor syndrome	Cancer	MLM
Melanoma and neural system tumor syndrome	Cancer	CMM2
Melanoma, cutaneous malignant, 2	Cancer	CDKN2A
Melanoma, cutaneous malignant, 2	Cancer	MTS1
Melanoma, cutaneous malignant, 2	Cancer	P16
Melanoma, cutaneous malignant, 2	Cancer	MLM
Melanoma, cutaneous malignant, 2	Cancer	CMM2
Melanoma, cutaneous malignant, susceptibility to	Cancer	XRCC3
Melanoma, malignant sporadic	Cancer	STK11
Melanoma, malignant sporadic	Cancer	PJS
Melanoma, malignant sporadic	Cancer	LKB1
Melanoma, melignant, somatic	Cancer	BRAF
Meleda disease	Dermatological	SLURP1
Meleda disease	Dermatological	MDM
Melnick-Needles syndrome	Skeletal	FLNA
Melnick-Needles syndrome	Skeletal	FLN1
Melnick-Needles syndrome	Skeletal	ABPX
Melnick-Needles syndrome	Skeletal	NHBP
Melnick-Needles syndrome	Skeletal	OPD1
Melnick-Needles syndrome	Skeletal	OPD2
Melnick-Needles syndrome	Skeletal	FMD
Melnick-Needles syndrome	Skeletal	MNS
Melorheostosis with osteopoikilosis	Developmental	LEMD3
Melorheostosis with osteopoikilosis	Developmental	MAN1
Memory impairment, susceptibility to	Neurological	BDNF
Meniere disease 156000 ()	Neurological	COCH
Meniere disease 156000 ()	Neurological	DFNA9
Meningioma	Cancer	MN1
Meningioma	Cancer	MGCR
Meningioma	Cancer	PTEN
Meningioma	Cancer	MMAC1
Meningioma, NF2-related, somatic	Cancer	NF2
Meningioma, SIS-related	Cancer	PDGFB
Meningioma, SIS-related	Cancer	SIS
Meningococcal disease, susceptibility to	Immunological	MBL2
Meningococcal disease, susceptibility to	Immunological	MBL
Meningococcal disease, susceptibility to	Immunological	MBP1
Menkes disease	Neurological	ATP7A
Menkes disease	Neurological	MNK
Menkes disease	Neurological	MK
Menkes disease	Neurological	OHS
Mental retardation, nonsyndromic, autosomal recessive	Neurological	PRSS12
Mental retardation, nonsyndromic, autosomal recessive	Neurological	BSSP3
Mental retardation, nonsyndromic, autosomal recessive, 2A	Neurological	CRBN
Mental retardation, nonsyndromic, autosomal recessive, 2A	Neurological	MRT2A
Mental retardation, X-linked	Neurological	NLGN4
Mental retardation, X-linked	Neurological	KIAA1260
Mental retardation, X-linked	Neurological	AUTSX2
Mental retardation, X-linked	Neurological	MECP2
Mental retardation, X-linked	Neurological	RTT
Mental retardation, X-linked	Neurological	PPMX
Mental retardation, X-linked	Neurological	MRX16
Mental retardation, X-linked	Neurological	MRX79
Mental retardation, X-linked 30	Neurological	PAK3
Mental retardation, X-linked 30	Neurological	MRX30
Mental retardation, X-linked 30	Neurological	MRX47
Mental retardation, X-linked, 34	Neurological	IL1RAPL
Mental retardation, X-linked, 34	Neurological	MRX34
Mental retardation, X-linked 36	Neurological	ARX
Mental retardation, X-linked 36	Neurological	ISSX
Mental retardation, X-linked 36	Neurological	PRTS
Mental retardation, X-linked 36	Neurological	MRXS1
Mental retardation, X-linked 36	Neurological	MRX36
Mental retardation, X-linked 36	Neurological	MRX54
Mental retardation, X-linked	Neurological	SLC6A8
Mental retardation, X-linked	Neurological	CRTR
Mental retardation, X-linked-44	Neurological	FTSJ1
Mental retardation, X-linked-44	Neurological	JM23
Mental retardation, X-linked-44	Neurological	SPB1
Mental retardation, X-linked-44	Neurological	MRX44
Mental retardation, X-linked-44	Neurological	MRX9
Mental retardation, X-linked 45	Neurological	ZNF81
Mental retardation, X-linked 45	Neurological	MRX45
Mental retardation, X-linked 54	Neurological	ARX
Mental retardation, X-linked 54	Neurological	ISSX
Mental retardation, X-linked 54	Neurological	PRTS
Mental retardation, X-linked 54	Neurological	MRXS1
Mental retardation, X-linked 54	Neurological	MRX36
Mental retardation, X-linked 54	Neurological	MRX54
Mental retardation, X-linked 58	Neurological	TM4SF2
Mental retardation, X-linked 58	Neurological	MXS1
Mental retardation, X-linked 58	Neurological	A15
Mental retardation, X-linked, 60	Neurological	OPHN1
Mental retardation, X-linked-9	Neurological	FTSJ1
Mental retardation, X-linked-9	Neurological	JM23
Mental retardation, X-linked-9	Neurological	SPB1
Mental retardation, X-linked-9	Neurological	MRX44
Mental retardation, X-linked-9	Neurological	MRX9
Mental retardation, X-linked, FRAXE type	Neurological	FMR2
Mental retardation, X-linked, FRAXE type	Neurological	FRAXE
Mental retardation, X-linked, FRAXE type	Neurological	MRX2
Mental retardation, X-linked, JARID1C-related	Neurological	SMCX
Mental retardation, X-linked, JARID1C-related	Neurological	MRXJ
Mental retardation, X-linked, JARID1C-related	Neurological	DXS1272E
Mental retardation, X-linked, JARID1C-related	Neurological	XE169
Mental retardation, X-linked, JARID1C-related	Neurological	JARID1C
Mental retardation, X-linked nonspecific	Neurological	GDI1
Mental retardation, X-linked nonspecific	Neurological	RABGD1A
Mental retardation, X-linked nonspecific	Neurological	MRX41
Mental retardation, X-linked nonspecific	Neurological	MRX48
Mental retardation, X-linked nonspecific, 63	Neurological	FACL4
Mental retardation, X-linked nonspecific, 63	Neurological	ACS4
Mental retardation, X-linked nonspecific, 63	Neurological	MRX63
Mental retardation, X-linked nonspecific, type 19	Neurological	RPS6KA3
Mental retardation, X-linked nonspecific, type 19	Neurological	RSK2
Mental retardation, X-linked nonspecific, type 19	Neurological	MRX19
Mental retardation, X-linked nonspecific, type 46	Neurological	ARHGEF6
Mental retardation, X-linked nonspecific, type 46	Neurological	MRX46
Mental retardation, X-linked nonspecific, type 46	Neurological	COOL2
Mental retardation, X-linked nonsyndromic	Neurological	AGTR2
Mental retardation, X-linked nonsyndromic	Neurological	FGD1
Mental retardation, X-linked nonsyndromic	Neurological	FGDY
Mental retardation, X-linked nonsyndromic	Neurological	AAS
Mental retardation, X-linked nonsyndromic	Neurological	ZNF41
Mental retardation, X-linked nonsyndromic, DLG3-related	Neurological	DLG3
Mental retardation, X-linked nonsyndromic, DLG3-related	Neurological	NEDLG
Mental retardation, X-linked nonsyndromic, DLG3-related	Neurological	SAP102
Mental retardation, X-linked nonsyndromic, DLG3-related	Neurological	MRX
Mental retardation, X-linked, Snyder-Robinson type	Neurological	SMS
Mental retardation, X-linked, Snyder-Robinson type	Neurological	SRS
Mental retardation, X-linked, Snyder-Robinson type	Neurological	MRSR
Mental retardation, X-linked, with isolated growth hormone deficiency	Neurological	SOX3
Mental retardation, X-linked, with isolated growth hormone deficiency	Neurological	MRGH
Mental retardation, X-linked, with progressive spasticity	Neurological	MECP2
Mental retardation, X-linked, with progressive spasticity	Neurological	RTT
Mental retardation, X-linked, with progressive spasticity	Neurological	PPMX
Mental retardation, X-linked, with progressive spasticity	Neurological	MRX16
Mental retardation, X-linked, with progressive spasticity	Neurological	MRX79
Mental retardation, X-linked, with seizures and carrier manifestations	Neurological	SLC6A8
Mental retardation, X-linked, with seizures and carrier manifestations	Neurological	CRTR
Mephenytoin poor metabolizer	Metabolic	CYP2C
Mephenytoin poor metabolizer	Metabolic	CYP2C19
Merkel cell carcinoma, somatic	Cancer	SDHD
Merkel cell carcinoma, somatic	Cancer	PGL1
Mesangial sclerosis, isolated diffuse	Renal	WT1
Mesothelioma	Cancer	BCL10
Metachromatic leukodystrophy	Neurological	ARSA
Metachromatic leukodystrophy due to deficiency of SAP-1	Neurological	PSAP
Metachromatic leukodystrophy due to deficiency of SAP-1	Neurological	SAP1
Metaphyseal chondrodysplasia, Murk Jansen type	Connective tissue	PTHR1
Metaphyseal chondrodysplasia, Murk Jansen type	Connective tissue	PTHR
Metaphyseal chondrodysplasia, Schmid type	Connective tissue	COL10A1
Metaphyseal dysplasia without hypotrichosis	Connective tissue	RMRP
Metaphyseal dysplasia without hypotrichosis	Connective tissue	RMRPR
Metaphyseal dysplasia without hypotrichosis	Connective tissue	CHH
Methemoglobinemia due to cytochrome b5 deficiency	Hematological	CYB5
Methemoglobinemias, alpha-	Hematological	HBA1
Methemoglobinemias, beta-	Hematological	HBB
Methemoglobinemia, type I	Hematological	DIA1
Methemoglobinemia, type II	Hematological	DIA1
Methionine adenosyltransferase deficiency, autosomal recessive	Metabolic	MAT1A
Methionine adenosyltransferase deficiency, autosomal recessive	Metabolic	MATA1
Methionine adenosyltransferase deficiency, autosomal recessive	Metabolic	SAMS1
Methylcobalamin deficiency, cblG type	Metabolic	MTR
Methylmalonate semialdehyde dehydrogenase deficiency	Metabolic	ALDH6A1
Methylmalonate semialdehyde dehydrogenase deficiency	Metabolic	MMSDH
Methylmalonic aciduria, mut(0) type	Metabolic	MUT
Methylmalonic aciduria, mut(0) type	Metabolic	MCM
Methylmalonic aciduria, vitamin B12-responsive	Metabolic	MMAA
Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type	Metabolic	MMAB
Mevalonicaciduria	Metabolic	MVK
Mevalonicaciduria	Metabolic	MVLK
MHC class II deficiency, complementation group B	Immunological	RFXANK
Microcephaly, Amish type	Neurological	SLC25A19
Microcephaly, Amish type	Neurological	DNC
Microcephaly, Amish type	Neurological	MUP1
Microcephaly, Amish type	Neurological	MCPHA
Microcephaly, autosomal recessive 1	Neurological	MCPH1
Microcephaly, primary autosomal recessive, 3	Neurological	CDK5RAP2
Microcephaly, primary autosomal recessive, 3	Neurological	KIAA1633
Microcephaly, primary autosomal recessive, 3	Neurological	MCPH3
Microcephaly, primary autosomal recessive, 5	Neurological	ASPM
Microcephaly, primary autosomal recessive, 5	Neurological	MCPH5
Microcephaly, primary autosomal recessive, 6	Neurological	CEMPJ
Microcephaly, primary autosomal recessive, 6	Neurological	CPAP
Microcephaly, primary autosomal recessive, 6	Neurological	MCPH6
Microcoria-congenital nephrosis syndrome	Ophthamological	LAMB2
Microcoria-congenital nephrosis syndrome	Ophthamological	LAMS
Micropenis	Renal	LHCGR
Microphthalmia, cataracts, and iris abnormalities	Ophthamological	CHX10
Microphthalmia, cataracts, and iris abnormalities	Ophthamological	HOX10
Microphthalmia, SIX6-related	Ophthamological	SIX6
Microphthalmia with associated anomalies 2	Ophthamological	BCOR
Microphthalmia with associated anomalies 2	Ophthamological	KIAA1575
Microphthalmia with associated anomalies 2	Ophthamological	MAA2
Microphthalmia with associated anomalies 2	Ophthamological	ANOP2
Migraine, familial hemiplegic, 2	Neurological	ATP1A2
Migraine, familial hemiplegic, 2	Neurological	FHM2
Migraine, familial hemiplegic, 2	Neurological	MHP2
Migraine, resistance to	Neurological	EDNRA
Migraine, susceptibility to	Neurological	ESR1
Migraine, susceptibility to	Neurological	ESR
Migraine without aura, susceptibility to	Neurological	TNF
Migraine without aura, susceptibility to	Neurological	TNFA
Miller-Dieker lissencephaly	multiple	YWHAE
Miller-Dieker lissencephaly	multiple	MDCR
Miller-Dieker lissencephaly	multiple	MDS
Mitochondrial complex I deficiency	multiple	NDUFS1
Mitochondrial complex I deficiency	multiple	NDUFS2
Mitochondrial complex I deficiency	multiple	NDUFS4
Mitochondrial complex I deficiency	multiple	AQDQ
Mitochondrial complex I deficiency	multiple	NDUFV1
Mitochondrial complex I deficiency	multiple	UQOR1
Mitochondrial complex III deficiency	multiple	BCS1L
Mitochondrial complex III deficiency	multiple	FLNMS
Mitochondrial complex III deficiency	multiple	GRACILE
Mitochondrial complex III deficiency	multiple	UQCRB
Mitochondrial complex III deficiency	multiple	UQBP
